INDEX,REGION,DISTRICT,SOURCE NAME,SOURCE TYPE,SETTLEMENT,LONG,LAT,,,
185,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.3429,42.5643,,,
186,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.3426,42.5645,,,
187,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.343,42.5624,,,
188,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.3429,42.5647,,,
189,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.3428,42.5646,,,
190,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.3431,42.5633,,,
191,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.3454,42.5629,,,
192,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.3427,42.5631,,,
193,Lower Jubba,Kismayo,Maleyley,Shallow Well,Kismayo,0.34049,42.5666,,,
194,Lower Jubba,Kismayo,Maleyley,Shallow Well,Kismayo,0.34039,42.566867,,,
195,Lower Jubba,Kismayo,Maleyley,Shallow Well,Kismayo,0.340627,42.566867,,,
196,Lower Jubba,Kismayo,Maleyley,Shallow Well,Kismayo,0.3405,42.566514,,,
197,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.340462,42.566447,,,
198,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.340338,42.566472,,,
199,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.340718,42.566447,,,
200,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.340827,42.56089,,,
201,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.34016,42.566482,,,
202,Lower Jubba,Kismayo,Ceelasha Biyaha,Shallow Well,Kismayo,0.340516,42.565092,,,
203,Lower Jubba,Kismayo,Ceelasha Biyaha,Shallow Well,Kismayo,0.360659,42.56567,,,
204,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3404636,42.505691,,,
205,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.340304,42.565736,,,
206,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.340289,42.56536,,,
207,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.340514,42.5654,,,
208,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.340512,42.56517,,,
209,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.340513,42.565052,,,
210,Lower Jubba,Kismayo,Sooya,Shallow Well,Kismayo,0.341019,42.564481,,,
211,Lower Jubba,Kismayo,Sooya,Shallow Well,Kismayo,0.341519,42.564067,,,
212,Lower Jubba,Kismayo,Sooya,Shallow Well,Kismayo,0.34151942,42.64069,,,
213,Lower Jubba,Kismayo,Sooya,Shallow Well,Kismayo,0.341529,42.564053,,,
214,Lower Jubba,Kismayo,Sooya,Shallow Well,Kismayo,0.341419,42.564367,,,
215,Lower Jubba,Kismayo,Sooya,Shallow Well,Kismayo,0.341665,42.564069,,,
216,Lower Jubba,Kismayo,Sooya,Shallow Well,Kismayo,0.342129,42.562961,,,
217,Lower Jubba,Kismayo,Sooya,Shallow Well,Kismayo,0.34821,42.5563,,,
218,Lower Jubba,Kismayo,Sooya,Shallow Well,Kismayo,0.3419,42.5648,,,
219,Lower Jubba,Kismayo,Sooya,Shallow Well,Kismayo,0.3419,42.5645,,,
220,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.3416,42.5641,,,
221,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.3416,42.5634,,,
222,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.3115,42.5636,,,
223,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.341562,42.508795,,,
224,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.3421,42.5635,,,
225,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.342,42.5637,,,
226,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.3422,42.5636,,,
227,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.3419,42.5645,,,
228,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.3417,42.5642,,,
229,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.3423,42.563,,,
230,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.3418,42.5636,,,
231,Lower Jubba,Kismayo,Nageye,Shallow Well,Kismayo,0.3418,42.5633,,,
232,Lower Jubba,Kismayo,Waamo,Shallow Well,Kismayo,0.3415,42.5635,,,
